2019-10-22 22:26:45 INFO  Car - Speed:   1.0; Angle:  NORTH; Position:   7,8; Parcels:      0; Health: 200.0; Health Usage: 200.0; Fuel: 966.0; Tile: ROAD
2019-10-22 22:26:45 INFO  Car - Speed:   1.0; Angle:  NORTH; Position:   7,9; Parcels:      0; Health: 200.0; Health Usage: 200.0; Fuel: 965.0; Tile: ROAD
2019-10-22 22:26:45 INFO  Car - Speed:   1.0; Angle:   WEST; Position:   6,9; Parcels:      0; Health: 200.0; Health Usage: 200.0; Fuel: 964.0; Tile: ROAD
2019-10-22 22:26:46 INFO  Car - Speed:   1.0; Angle:   WEST; Position:   5,9; Parcels:      0; Health: 200.0; Health Usage: 200.0; Fuel: 963.0; Tile: ROAD
2019-10-22 22:26:46 INFO  Car - Speed:   1.0; Angle:   WEST; Position:   4,9; Parcels:      0; Health: 200.0; Health Usage: 200.0; Fuel: 962.0; Tile: ROAD
2019-10-22 22:26:46 INFO  Car - Speed:   1.0; Angle:   WEST; Position:   3,9; Parcels:      0; Health: 200.0; Health Usage: 200.0; Fuel: 961.0; Tile: ROAD
2019-10-22 22:26:46 INFO  Car - Speed:   1.0; Angle:   WEST; Position:   2,9; Parcels:      0; Health: 200.0; Health Usage: 200.0; Fuel: 960.0; Tile: ROAD
2019-10-22 22:26:47 INFO  Car - Speed:   1.0; Angle:  NORTH; Position:  2,10; Parcels:      0; Health: 200.0; Health Usage: 200.0; Fuel: 959.0; Tile: ROAD
2019-10-22 22:26:47 INFO  Car - Speed:   1.0; Angle:  NORTH; Position:  2,11; Parcels:      0; Health: 200.0; Health Usage: 200.0; Fuel: 958.0; Tile: ROAD
2019-10-22 22:26:47 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  3,11; Parcels:      0; Health: 200.0; Health Usage: 200.0; Fuel: 957.0; Tile: ROAD
2019-10-22 22:26:47 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  4,11; Parcels:      0; Health: 200.0; Health Usage: 200.0; Fuel: 956.0; Tile: ROAD
2019-10-22 22:26:48 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  5,11; Parcels:      0; Health: 200.0; Health Usage: 200.0; Fuel: 955.0; Tile: ROAD
2019-10-22 22:26:48 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  6,11; Parcels:      0; Health: 200.0; Health Usage: 200.0; Fuel: 954.0; Tile: ROAD
2019-10-22 22:26:48 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  7,11; Parcels:      0; Health: 200.0; Health Usage: 200.0; Fuel: 953.0; Tile: ROAD
2019-10-22 22:26:48 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  8,11; Parcels:      0; Health: 200.0; Health Usage: 200.0; Fuel: 952.0; Tile: ROAD
2019-10-22 22:26:49 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  9,11; Parcels:      0; Health: 200.0; Health Usage: 200.0; Fuel: 951.0; Tile: ROAD
2019-10-22 22:26:49 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:  9,10; Parcels:      0; Health: 200.0; Health Usage: 200.0; Fuel: 950.0; Tile: ROAD
2019-10-22 22:26:49 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:   9,9; Parcels:      0; Health: 200.0; Health Usage: 200.0; Fuel: 949.0; Tile: ROAD
2019-10-22 22:26:49 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:   9,8; Parcels:      0; Health: 200.0; Health Usage: 200.0; Fuel: 948.0; Tile: ROAD
2019-10-22 22:26:50 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:   9,7; Parcels:      0; Health: 200.0; Health Usage: 200.0; Fuel: 947.0; Tile: ROAD
2019-10-22 22:26:50 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:   9,6; Parcels:      0; Health: 200.0; Health Usage: 200.0; Fuel: 946.0; Tile: ROAD
2019-10-22 22:26:50 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:   9,5; Parcels:      0; Health: 200.0; Health Usage: 200.0; Fuel: 945.0; Tile: ROAD
2019-10-22 22:26:50 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:   9,4; Parcels:      0; Health: 200.0; Health Usage: 200.0; Fuel: 944.0; Tile: ROAD
2019-10-22 22:26:51 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:   9,3; Parcels:      0; Health: 200.0; Health Usage: 200.0; Fuel: 943.0; Tile: ROAD
2019-10-22 22:26:51 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:   9,2; Parcels:      0; Health: 200.0; Health Usage: 200.0; Fuel: 942.0; Tile: ROAD
2019-10-22 22:26:51 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:   9,1; Parcels:      0; Health: 200.0; Health Usage: 200.0; Fuel: 941.0; Tile: ROAD
2019-10-22 22:26:51 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  10,1; Parcels:      0; Health: 200.0; Health Usage: 200.0; Fuel: 940.0; Tile: ROAD
2019-10-22 22:26:52 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  11,1; Parcels:      0; Health: 200.0; Health Usage: 200.0; Fuel: 939.0; Tile: ROAD
2019-10-22 22:26:52 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  12,1; Parcels:      0; Health: 200.0; Health Usage: 200.0; Fuel: 938.0; Tile: ROAD
2019-10-22 22:26:52 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  13,1; Parcels:      0; Health: 200.0; Health Usage: 200.0; Fuel: 937.0; Tile: ROAD
2019-10-22 22:26:52 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  14,1; Parcels:      0; Health: 200.0; Health Usage: 200.0; Fuel: 936.0; Tile: ROAD
2019-10-22 22:26:53 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  15,1; Parcels:      0; Health: 200.0; Health Usage: 200.0; Fuel: 935.0; Tile: ROAD
2019-10-22 22:26:53 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  16,1; Parcels:      0; Health: 200.0; Health Usage: 200.0; Fuel: 934.0; Tile: ROAD
2019-10-22 22:26:53 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  17,1; Parcels:      0; Health: 200.0; Health Usage: 200.0; Fuel: 933.0; Tile: ROAD
2019-10-22 22:26:53 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  18,1; Parcels:      0; Health: 200.0; Health Usage: 200.0; Fuel: 932.0; Tile: ROAD
2019-10-22 22:26:54 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  19,1; Parcels:      0; Health: 200.0; Health Usage: 200.0; Fuel: 931.0; Tile: ROAD
2019-10-22 22:26:54 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  20,1; Parcels:      0; Health: 200.0; Health Usage: 200.0; Fuel: 930.0; Tile: ROAD
2019-10-22 22:26:54 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  21,1; Parcels:      0; Health: 200.0; Health Usage: 200.0; Fuel: 929.0; Tile: ROAD
2019-10-22 22:26:54 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  22,1; Parcels:      0; Health: 200.0; Health Usage: 200.0; Fuel: 928.0; Tile: ROAD
2019-10-22 22:26:55 INFO  Car - Speed:   1.0; Angle:  NORTH; Position:  22,2; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 927.0; Tile: ROAD
2019-10-22 22:26:55 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  23,2; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 926.0; Tile: ROAD
2019-10-22 22:26:55 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:  23,1; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 925.0; Tile: ROAD
2019-10-22 22:26:55 INFO  Car - Speed:   1.0; Angle:   WEST; Position:  22,1; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 924.0; Tile: ROAD
2019-10-22 22:26:56 INFO  Car - Speed:   1.0; Angle:   WEST; Position:  21,1; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 923.0; Tile: ROAD
2019-10-22 22:26:56 INFO  Car - Speed:   1.0; Angle:  NORTH; Position:  21,2; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 922.0; Tile: ROAD
2019-10-22 22:26:56 INFO  Car - Speed:   1.0; Angle:   WEST; Position:  20,2; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 921.0; Tile: ROAD
2019-10-22 22:26:56 INFO  Car - Speed:   1.0; Angle:   WEST; Position:  19,2; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 920.0; Tile: ROAD
